d,price,sma_7,sma_30
2026-01-19,589.81,560.0628571428572,498.0683333333333
2026-01-20,613.91,572.1614285714285,503.429
2026-01-21,603.91,579.0285714285714,508.38199999999995
2026-01-22,563.18,584.8385714285713,512.112
2026-01-23,577.91,587.3142857142857,516.5806666666666
2026-01-24,593.67,589.0071428571428,523.231
2026-01-25,608.81,593.0285714285712,528.707
2026-01-26,619.55,597.2771428571428,534.1203333333333
2026-01-27,620.41,598.2057142857142,539.2259999999999
2026-01-28,634.79,602.6171428571428,544.3693333333333
2026-01-29,617.31,610.3499999999998,548.6556666666667
2026-01-30,638.67,619.03,553.2929999999999
2026-01-31,636.35,625.1271428571429,557.8366666666667
2026-02-01,625.6,627.5257142857143,561.5403333333333
2026-02-02,637.49,630.0885714285714,565.5653333333335
2026-02-03,634.93,632.1628571428572,569.5626666666667
2026-02-04,650.46,634.4014285714285,576.4586666666667
2026-02-05,651.66,639.3085714285714,582.06
2026-02-06,633.01,638.5,585.9036666666666
2026-02-07,628.18,637.3328571428572,590.622
2026-02-08,632.98,638.3871428571429,595.3586666666666
2026-02-09,621.7,636.1314285714285,599.2686666666667
2026-02-10,613.27,633.0371428571428,602.8653333333334
2026-02-11,615.91,628.1014285714285,606.4699999999999
2026-02-12,613.06,622.5871428571428,609.2646666666667
2026-02-13,614.13,619.89,611.2076666666668
2026-02-14,616.77,618.26,614.3496666666666
2026-02-15,616.65,615.9271428571428,616.2186666666665
2026-02-16,609.19,614.14,617.1309999999999
2026-02-17,598.86,612.0814285714285,617.7376666666665
2026-02-18,599.29,609.7071428571429,618.0536666666666
2026-02-19,582.41,605.3285714285714,617.0036666666666
2026-02-20,591.76,602.1328571428572,616.5986666666665
2026-02-21,594.94,599.0142857142857,617.6573333333331
2026-02-22,605.52,597.4242857142857,618.5776666666666
2026-02-23,578.89,593.0957142857143,618.0849999999998
2026-02-24,595.92,592.6757142857142,617.6553333333333
2026-02-25,601.09,592.9328571428571,617.0399999999998
2026-02-26,611.53,597.0928571428573,616.7439999999999
